Label,SourceImage,CandidateType,CurrentGuess,CrackProbability,UserVerdict,UserVerdictBool
500064,260622_316_H_b4_CBS_01,concavity,,0.5,TRUE,True
500307,260622_316_H_b4_CBS_01,interior_fill,,0.5,TRUE,True
500320,260622_316_H_b4_CBS_01,interior_fill,,0.5,TRUE,True
500172,260622_316_H_b4_CBS_02,bridge_corridor,,0.5,TRUE,True
500170,260622_316_H_b4_CBS_02,bridge_corridor,,0.5,TRUE,True
500163,260622_316_H_b4_CBS_02,bridge_corridor,,0.5,TRUE,True
500177,260622_316_H_b4_CBS_02,bridge_corridor,,0.5,TRUE,True
500183,260622_316_H_b4_CBS_02,interior_fill,,0.5,TRUE,True
500320,260622_316_H_b4_CBS_02,interior_fill,,0.5,TRUE,True
500208,260622_316_H_b4_CBS_02,interior_fill,,0.5,TRUE,True
500236,260622_316_H_b4_CBS_02,interior_fill,,0.5,TRUE,True
500242,260622_316_H_b4_CBS_02,interior_fill,,0.5,TRUE,True
500083,260622_316_amb_b3_CBS_01,bridge_corridor,,0.5,TRUE,True
500000,260622_316_amb_b3_CBS_01,concavity,,0.5,TRUE,True
500021,260622_316_amb_b3_CBS_01,concavity,,0.5,FALSE,False
203,260622_316_amb_b3_CBS_02,original,False,0.492,TRUE,True
103,260622_316_amb_b3_CBS_02,original,False,0.492,TRUE,True
500030,260622_316_amb_b3_CBS_02,concavity,,0.5,TRUE,True
500021,260708_316_H_b2_front_CBS_002,concavity,,0.5,TRUE,True
500140,260708_316_H_b2_front_CBS_003,bridge_corridor,,0.5,TRUE,True
500139,260708_316_H_b2_front_CBS_003,bridge_corridor,,0.5,TRUE,True
500142,260708_316_H_b2_front_CBS_003,bridge_corridor,,0.5,TRUE,True
500122,260708_316_H_b2_front_CBS_003,concavity,,0.5,FALSE,False
500077,260708_316_H_b2_front_CBS_003,concavity,,0.5,FALSE,False
500062,260708_316_H_b2_front_CBS_003,concavity,,0.5,TRUE,True
500104,260708_316_H_b2_front_CBS_003,concavity,,0.5,TRUE,True
500032,260708_316_H_b2_front_CBS_003,concavity,,0.5,TRUE,True
500026,260708_316_H_b2_front_CBS_003,concavity,,0.5,TRUE,True
500002,260708_316_H_b2_front_CBS_003,concavity,,0.5,TRUE,True
500015,260708_316_H_b2_front_CBS_003,concavity,,0.5,TRUE,True
500146,260708_316_H_b2_front_CBS_003,interior_fill,,0.5,TRUE,True
500162,260708_316_H_b2_front_CBS_003,interior_fill,,0.5,TRUE,True
500098,260708_316_H_b2_front_CBS_004,bridge_corridor,,0.5,TRUE,True
500045,260708_316_H_b2_front_CBS_004,concavity,,0.5,FALSE,False
500006,260708_316_H_b2_front_CBS_004,concavity,,0.5,TRUE,True
500084,260708_316_H_b2_front_CBS_004,concavity,,0.5,FALSE,False
500115,260708_316_H_b2_front_CBS_004,interior_fill,,0.5,TRUE,True
500072,260708_316_H_b2_front_CBS_005,concavity,,0.5,FALSE,False
500115,260708_316_H_b2_front_CBS_005,concavity,,0.5,FALSE,False
500139,260708_316_H_b2_front_CBS_005,interior_fill,,0.5,TRUE,True
500129,260708_316_H_b2_front_CBS_005,interior_fill,,0.5,TRUE,True
500018,260708_316_H_b2_front_CBS_006,concavity,,0.5,FALSE,False
500112,260708_316_H_b2_front_CBS_007,bridge_corridor,,0.5,TRUE,True
500109,260708_316_H_b2_front_CBS_007,bridge_corridor,,0.5,TRUE,True
500107,260708_316_H_b2_front_CBS_007,bridge_corridor,,0.5,TRUE,True
500023,260708_316_H_b2_front_CBS_007,concavity,,0.5,FALSE,False
500048,260708_316_H_b2_front_CBS_007,concavity,,0.5,FALSE,False
500040,260708_316_H_b2_front_CBS_007,concavity,,0.5,FALSE,False
500087,260708_316_H_b2_front_CBS_007,concavity,,0.5,TRUE,True
500039,260708_316_H_b2_front_CBS_007,concavity,,0.5,TRUE,True
500065,260708_316_H_b2_front_CBS_008,concavity,,0.5,TRUE,True
500014,260708_316_H_b2_front_CBS_008,concavity,,0.5,TRUE,True
500024,260708_316_H_b2_front_CBS_008,concavity,,0.5,TRUE,True
500109,260708_316_H_b2_front_CBS_011,bridge_corridor,,0.5,TRUE,True
500089,260708_316_H_b2_front_CBS_011,concavity,,0.5,TRUE,True
500027,260708_316_H_b2_front_CBS_011,concavity,,0.5,FALSE,False
500127,260708_316_H_b2_front_CBS_011,interior_fill,,0.5,TRUE,True
500110,260708_316_H_b2_front_CBS_011,interior_fill,,0.5,TRUE,True
500062,260708_316_H_b2_front_CBS_012,bridge_corridor,,0.5,TRUE,True
500037,260708_316_H_b2_front_CBS_012,concavity,,0.5,TRUE,True
500102,260708_316_H_b2_front_CBS_013,bridge_corridor,,0.5,FALSE,False
500103,260708_316_H_b2_front_CBS_013,bridge_corridor,,0.5,TRUE,True
500059,260708_316_H_b2_front_CBS_013,concavity,,0.5,FALSE,False
500100,260708_316_H_b2_front_CBS_013,concavity,,0.5,FALSE,False
500083,260708_316_H_b2_front_CBS_013,concavity,,0.5,TRUE,True
500092,260708_316_H_b2_front_CBS_013,concavity,,0.5,TRUE,True
500002,260708_316_H_b2_front_CBS_013,concavity,,0.5,TRUE,True
500120,260708_316_H_b2_front_CBS_013,interior_fill,,0.5,TRUE,True
86,260708_316_H_b2_front_CBS_015,original,True,0.508,FALSE,False
500052,260708_316_H_b2_front_CBS_015,bridge_corridor,,0.5,FALSE,False
500049,260708_316_H_b2_front_CBS_015,bridge_corridor,,0.5,TRUE,True
500130,260708_316_H_b2_front_CBS_016,bridge_corridor,,0.5,FALSE,False
500127,260708_316_H_b2_front_CBS_016,bridge_corridor,,0.5,TRUE,True
500134,260708_316_H_b2_front_CBS_016,bridge_corridor,,0.5,TRUE,True
500139,260708_316_H_b2_front_CBS_016,bridge_corridor,,0.5,FALSE,False
500135,260708_316_H_b2_front_CBS_016,bridge_corridor,,0.5,FALSE,False
500031,260708_316_H_b2_front_CBS_016,concavity,,0.5,FALSE,False
500105,260708_316_H_b2_front_CBS_016,concavity,,0.5,TRUE,True
